iter	Passed	Remaining
938	9045	587
939	9053	577
940	9062	568
941	9074	558
942	9084	549
943	9094	539
944	9106	530
945	9114	520
946	9121	510
947	9139	501
948	9146	491
949	9157	481
950	9174	472
951	9186	463
952	9195	453
953	9204	443
954	9213	434
955	9224	424
956	9231	414
957	9241	405
958	9260	395
959	9276	386
960	9285	376
961	9296	367
962	9307	357
963	9318	348
964	9338	338
965	9354	329
966	9367	319
967	9378	310
968	9394	300
969	9407	290
970	9420	281
971	9432	271
972	9446	262
973	9456	252
974	9487	243
975	9512	233
976	9546	224
977	9612	216
978	9639	206
979	9658	197
980	9670	187
981	9701	177
982	9724	168
983	9750	158
984	9759	148
985	9771	138
986	9782	128
987	9790	118
988	9802	109
989	9810	99
990	9834	89
991	9848	79
992	9857	69
993	9864	59
994	9872	49
995	9890	39
996	9901	29
997	9921	19
998	9935	9
999	9947	0
98	9880	9
999	9898	0
